OBJECTID,HSISID,Name,Address 1,Address 2,City,State,Postal Code,Phone Number,Restaurant Open Date,Facility Type,Longitude,Latitude,geo_point_2d
2812,04092025338,LOWES FOODS #262 MEAT/SEAFOOD,687 MILLS PARK DR,,CARY,NC,27519,(919) 297-2995,2021-02-16,2 - Food Stands,-78.89712107,35.80863492,"35.80864200000044, -78.8971237547297"
2922,04092025578,UMSTEAD POOL BAR,100 WOODLAND POND DR,,CARY,NC,27513,,2024-03-26,2 - Food Stands,-78.76458185,35.82989317,"35.82990025176246, -78.76458449928711"
2994,04092030404,TACOS EL COCO LOCO (WCID #694),404 W CHATHAM ST,,CARY,NC,27511,(919) 699-3810,2019-03-27,3 - Mobile Food,-78.7884575,35.78704359,"35.78705066425939, -78.78846015867025"
3087,04092030674,TACO ADDICTS (WCID #677),131 CROSSROADS BLVD,,CARY,NC,27518,(472) 206-9865,2024-03-11,3 - Mobile Food,-78.74226136,35.76176402,"35.76177108939164, -78.74226399767534"
3106,04092040085,"JIM'S OLE TIME HOT DOGS (WCID #454)",2000 WALNUT ST,,CARY,NC,27511-9230,(919) 924-4625,2000-12-14,4 - Push Carts,-78.74296252,35.75728068,"35.757287748403435, -78.74296515891191"
3210,04092110097,DAVIS DRIVE MIDDLE SCH. CAFETERIA,2101 DAVIS DR,,CARY,NC,27519-9276,(919) 387-3038,1995-05-01,11 - Public School Lunch,-78.85122642,35.77869302,"35.778700089480694, -78.8512290923364"
3241,04092110126,MIDDLE CREEK HIGH SCHOOL CAFETERIA,123 MIDDLE CREEK PARK AVE,,CARY,NC,27539,(919) 773-3842,2001-08-02,11 - Public School Lunch,-78.75881439,35.66888779,"35.668894840885415, -78.75881703096191"
3249,04092110138,CARY ELEMENTARY CAFETERIA,400 KILDAIRE FARM RD,,CARY,NC,27511,(919) 460-3455,2003-08-07,11 - Public School Lunch,-78.78170077,35.78100384,"35.78101091022217, -78.78170342227021"
3261,04092110152,EAST CARY MIDDLE SCH. CAFETERIA,1111 SE MAYNARD RD,,CARY,NC,27511,(919) 466-4377,2004-08-09,11 - Public School Lunch,-78.76566336,35.780815,"35.780822077621, -78.76566600926154"
3268,04092110461,PANTHER CREEK HIGH SCH. CAFETERIA,6770 MCCRIMMON PKWY,,CARY,NC,27513,(919) 463-8656,2006-08-21,11 - Public School Lunch,-78.88879132,35.830181,"35.83018808410762, -78.88879400269069"
3276,04092110470,MILLS PARK ELEMENTARY CAFETERIA,509 MILLS PARK DR,,CARY,NC,27519,(919) 466-1466,2008-06-09,11 - Public School Lunch,-78.8960819,35.81195542,"35.81196249759251, -78.89608459018325"
3318,04092110518,"HORTON'S CREEK ELEMENTARY SCHOOL CAFETERIA","7615 O'KELLY CHAPEL RD",,CARY,NC,27519,(919) 694-8660,2017-06-21,11 - Public School Lunch,-78.90733972,35.84189059,"35.84189767080658, -78.90734241610122"
3378,04092160073,HEARTFIELDS AT CARY FOODSERVICE,1050 CRESCENT GREEN DR,,CARY,NC,27518,(919) 852-5757,2009-11-30,16 - Institutional Food Service,-78.77955235,35.73351152,"35.73351858106374, -78.77955499452598"
3451,04092300256,LAS TRES FRONTERAS SUPER MERCADO,748 E CHATHAM  ST,,CARY,NC,27511,(919) 380-3592,2012-05-22,30 - Meat Market,-78.76514284,35.79157176,"35.791578838482266, -78.76514549164654"
3456,04092300262,TODAY ASIA MARKET,1207 KILDAIRE FARM  RD,,CARY,NC,27511,(919) 380-0588,2013-01-14,30 - Meat Market,-78.78219418,35.76380551,"35.763812580889606, -78.78219682903689"
3549,04092025630,"PAPA MURPHY'S NC002",161 SE CARY PKY,,CARY,NC,27511,(919) 459-8494,2024-11-05,2 - Food Stands,-78.78193785,35.75976468,"35.759771748933424, -78.78194049746463"
3578,04092025641,AFC ZENSHI @ PUBLIX 1520,3480 KILDAIRE FARM RD,,CARY,NC,27518,,2024-11-21,2 - Food Stands,-78.79652285,35.70711427,"35.707121329408686, -78.79652549975759"
3616,04092030719,CRAFT PUBLIC HOUSE FOOD TRUCK (WCID #1073),1040 TRYON VILLAGE DR,UNIT #601,CARY,NC,27518,(919) 522-2453,2024-12-19,3 - Mobile Food,-78.7446922,35.74631027,"35.74631733506105, -78.74469483518695"
3637,04092019594,"BENNY'S BILLIARDS AND SPORTS BAR",932 NE MAYNARD RD,,CARY,NC,27513,,2025-01-09,1 - Restaurant,-78.76838418,35.80043542,"35.800442496958084, -78.76838683271491"
3644,04092025654,CAPRI FLAVORS,867 BASS PRO LN,,CARY,NC,27513,,2025-01-21,2 - Food Stands,-78.77007336,35.83116267,"35.83116975455087, -78.77007600888682"
3708,04092019636,FAMOUS TOASTERY OF CARY,"316 COLONADES WAY, STE 201C",,CARY,NC,27518,(919) 655-1971,2025-03-26,1 - Restaurant,-78.77756452,35.73853427,"35.73854133532604, -78.77756716738376"
3727,04092019651,MECHE,3470 KILDAIRE FARM RD,,CARY,NC,27518,,2025-03-28,1 - Restaurant,-78.79564018,35.70596311,"35.7059701674902, -78.79564282957766"
3751,04092019670,"NANA MORRISON'S SOUL FOOD",2052 RENAISSANCE PARK PL,,CARY,NC,27513,,2025-04-28,1 - Restaurant,-78.77115668,35.82699559,"35.82700267089776, -78.7711593348941"
3791,04092019698,CAPE FEAR SEAFOOD COMPANY,1885 LAKE PINE DR,,CARY,NC,27511,,2025-05-16,1 - Restaurant,-78.81900333,35.7452121,"35.745219167338156, -78.8190059912053"
3843,04092019733,TASU ASIAN BISTRO & SUSHI BAR,"525 NEW WAVERLY PL, STE 103",,CARY,NC,27518,(919) 412-4037,2025-06-24,1 - Restaurant,-78.77756452,35.73853427,"35.73854133532604, -78.77756716738376"
3845,04092019735,COFFEE STUDIO,370 S WALKER ST,STE 123,CARY,NC,27511,(919) 234-1558,2025-05-03,1 - Restaurant,-78.77921059,35.78340809,"35.78341516763001, -78.77921324607762"
3894,04092019768,PRESTONWOOD COUNTRY CLUB BANQUET KITCHEN,300 PRESTONWOOD PKWY,,CARY,NC,27513,,2025-08-01,1 - Restaurant,-78.83456499,35.79547785,"35.795484921563386, -78.83456766169395"
657,04092016212,ABBEY ROAD TAVERN   GRILL,1195 W CHATHAM ST,,CARY,NC,27513,(919) 481-4434,2012-07-16,1 - Restaurant,-78.80690367,35.77079809,"35.7708051618002, -78.80690633011957"
671,04092016267,CHINA KING,313 CROSSROADS BLVD,,CARY,NC,27518,(919) 233-8385,2012-10-01,1 - Restaurant,-78.73871469,35.76064643,"35.76065349732471, -78.73871732686946"
688,04092016332,ASIAN GARDEN,242 GRANDE HEIGHTS DR,,CARY,NC,27513,(919) 462-8598,2012-12-27,1 - Restaurant,-78.78059125,35.80471168,"35.80471875401835, -78.78059390784402"
748,04092016547,BROTHERS OF NEW YORK,3450-158 KILDAIRE FARM  RD,,CARY,NC,27518,(919) 387-7711,2013-11-19,1 - Restaurant,-78.79652285,35.70711427,"35.707121329408686, -78.79652549975759"
762,04092016583,THE CORNER TAVERN   GRILL,1301 NW MAYNARD  RD,,CARY,NC,27513,(919) 460-0088,2013-12-19,1 - Restaurant,-78.81100001,35.78581026,"35.7858173295153, -78.81100266997566"
829,04092016780,HARRIS TEETER #430 STARBUCKS,885 WALNUT ST,,CARY,NC,27511,(919) 481-4251,2014-10-15,1 - Restaurant,-78.76562102,35.77485801,"35.77486508330142, -78.76562366458889"
944,04092017092,CHICK-FIL-A #3448,"7107 O'KELLY CHAPEL RD",,CARY,NC,27519,(919) 466-9525,2015-11-17,1 - Restaurant,-78.88733365,35.84522109,"35.845228173121946, -78.88733633830016"
981,04092017214,HIMALAYAN RANGE,910 NE MAYNARD RD,,CARY,NC,27513,(919) 378-9886,2016-04-13,1 - Restaurant,-78.76838418,35.80043542,"35.800442496958084, -78.76838683271491"
1034,04092017457,BABA GHANNOUJ,2468 WALNUT ST,,CARY,NC,27518,(919) 233-0907,2016-11-15,1 - Restaurant,-78.74427277,35.7532321,"35.75323917336935, -78.74427541319983"
1056,04092017517,GUASACA AREPA   SALSA GRILL,9918 CHAPEL HILL RD,SUITE 103,CARY,NC,27513,(919) 377-8223,2017-01-31,1 - Restaurant,-78.820634,35.81480892,"35.8148160004568, -78.82063666761277"
1067,04092017538,FAULISI CAFFE AND ENOTECA,215 E CHATHAM ST,SUITE 101,CARY,NC,27511,(919) 377-8244,2017-02-21,1 - Restaurant,-78.77734267,35.78786217,"35.787869245524334, -78.77734532594553"
1080,04092017558,BURGER KING #8018,313 COLONADES WAY,,CARY,NC,27511,(919) 233-8681,2017-03-21,1 - Restaurant,-78.77901268,35.73967601,"35.739683077454735, -78.77901532908723"
